BLIND_ID,KIND,CLASS
f001,categorical,ELIGIBLE_PRE_ENTRY
f002,numeric,ELIGIBLE_PRE_ENTRY
f003,numeric,ELIGIBLE_PRE_ENTRY
f004,numeric,ELIGIBLE_PRE_ENTRY
f005,numeric,ELIGIBLE_PRE_ENTRY
f006,numeric,ELIGIBLE_PRE_ENTRY
f007,numeric,ELIGIBLE_PRE_ENTRY
f008,numeric,ELIGIBLE_PRE_ENTRY
f009,numeric,ELIGIBLE_PRE_ENTRY
f010,numeric,ELIGIBLE_PRE_ENTRY
f011,categorical,ELIGIBLE_PRE_ENTRY
f012,numeric,ELIGIBLE_PRE_ENTRY
f013,numeric,ELIGIBLE_PRE_ENTRY
f014,numeric,ELIGIBLE_PRE_ENTRY
f015,bool,ELIGIBLE_PRE_ENTRY
f016,numeric,ELIGIBLE_PRE_ENTRY
f017,categorical,ELIGIBLE_PRE_ENTRY
f018,numeric,ELIGIBLE_PRE_ENTRY
f019,categorical,ELIGIBLE_PRE_ENTRY
f020,numeric,ELIGIBLE_PRE_ENTRY
f021,bool,ELIGIBLE_PRE_ENTRY
f022,numeric,ELIGIBLE_PRE_ENTRY
f023,numeric,ELIGIBLE_PRE_ENTRY
f024,categorical,ELIGIBLE_PRE_ENTRY
f025,categorical,ELIGIBLE_PRE_ENTRY
f026,numeric,ELIGIBLE_PRE_ENTRY
f027,numeric,ELIGIBLE_PRE_ENTRY
f028,numeric,ELIGIBLE_PRE_ENTRY
f029,numeric,ELIGIBLE_PRE_ENTRY
f030,numeric,ELIGIBLE_PRE_ENTRY
f031,categorical,ELIGIBLE_PRE_ENTRY
f032,numeric,ELIGIBLE_PRE_ENTRY
f033,numeric,ELIGIBLE_PRE_ENTRY
f034,numeric,ELIGIBLE_PRE_ENTRY
f035,numeric,ELIGIBLE_PRE_ENTRY
f036,numeric,ELIGIBLE_PRE_ENTRY
f037,bool,ELIGIBLE_PRE_ENTRY
f038,numeric,ELIGIBLE_PRE_ENTRY
f039,categorical,ELIGIBLE_PRE_ENTRY
f040,numeric,ELIGIBLE_PRE_ENTRY
f041,numeric,ELIGIBLE_PRE_ENTRY
f042,numeric,ELIGIBLE_PRE_ENTRY
f043,numeric,ELIGIBLE_PRE_ENTRY
f044,categorical,ELIGIBLE_PRE_ENTRY
f045,categorical,ELIGIBLE_PRE_ENTRY
f046,categorical,ELIGIBLE_PRE_ENTRY
