sid,N,exp,wr,Lexp,LN,Sexp,SN,best_sess,best_sess_exp,best_vol,align_exp,counter_exp,best_dow
HTF_PBK_TREND,324,-0.08416522663934105,0.3765432098765432,-0.07807315488690442,179,-0.09168578418200418,145,NY,0.091614267134185,md,-0.08416522663934103,,2
HTF_RANGE_FADE,760,-0.1462639811616175,0.35789473684210527,-0.11506116608102145,368,-0.17555641980870768,392,LT,-0.0014469835632136242,md,,,6
HTF_RECLAIM,6834,-0.10018457997622171,0.37957272461223296,-0.059319299783596575,3559,-0.1445935974435661,3275,NY,-0.04095548176674662,hi,-0.08064144535177864,,1
HTF_TGT_BREAK,460,-0.022855479656928215,0.4369565217391304,0.008200961050768748,215,-0.05010909089021328,245,AS,0.18900443111720827,md,0.048267221406992626,,4
OBEXEC_B,2160,-0.26565881262113494,0.3287037037037037,-0.26565881262113494,2160,,0,NY,-0.20664293488781826,hi,-0.18341902898017515,-0.3409522103685795,1
OBEXEC_C,1896,-0.20573875879572312,0.32858649789029537,-0.20573875879572312,1896,,0,NY,-0.13630028649764764,hi,-0.12760364734314805,-0.27806462150612676,4
OBEXEC_D,955,-0.18525611422496036,0.33403141361256544,-0.18525611422496036,955,,0,NY,-0.13468928106734415,hi,-0.09417376362509242,-0.30974015482656153,1
OBR_A_limit,2486,-0.06732270034263796,0.41190667739340303,-0.06732270034263796,2486,,0,NY,-0.04507220079179262,hi,-0.027130309645744873,-0.12712396188500294,3
SESS_A,3293,0.009844862393366427,0.3923474035833586,0.009649341015217309,1659,0.010043375224669597,1634,NY,0.16038401699547666,hi,0.08788821405317428,-0.0804855438252303,0
SESS_B,3056,-0.3656137311760934,0.31839005235602097,-0.36887399515672753,1497,-0.36248312490347684,1559,NY,-0.19535051317555582,hi,-0.36641220814571407,-0.3568336308902449,2
SESS_C,1748,-0.2791331001590712,0.32780320366132726,-0.33558487084316624,831,-0.2279756067692315,917,NY,-0.2791331001590712,hi,-0.2685674650577503,-0.24370128702689503,4
SESS_D,2784,-0.026701731935968916,0.382183908045977,-0.010319695033945368,1402,-0.04332084607246459,1382,NY,-0.02670173193596891,lo,-0.015449313073914483,-0.027877443500925057,0
SESS_E,989,-0.1706719129068075,0.33872598584428715,-0.11693834488453353,499,-0.22539242401520485,490,NY,-0.16620709315442997,hi,-0.18187834867938396,-0.15396395230592633,1
SESS_Fc,2958,-0.19368103707887946,0.32386747802569305,-0.1276121829654491,1519,-0.263377020778801,1439,NY,-0.16450986307342363,hi,-0.17979489351271277,-0.14010783004564206,2
