object,family,n,pooled_exp,rescue_class,condition,subset_exp,remainder_exp,ANALYSIS_OBJECT_ID,MECHANISM_ID,SOURCE_FAMILY_ID
HTF_PBK_TREND,HTF_PBK_TREND,324,-0.08416522663934102,NONE,,,,HTF_PBK_TREND,M07_TREND_CONTINUATION,HTF_PBK_TREND
HTF_RANGE_FADE,HTF_RANGE_FADE,760,-0.1462639811616175,NONE,,,,HTF_RANGE_FADE,M12_RANGE_ROTATION,HTF_RANGE_FADE
HTF_RECLAIM,HTF_RECLAIM,6834,-0.10018457997622172,NONE,,,,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,HTF_RECLAIM
HTF_TGT_BREAK,HTF_TGT_BREAK,460,-0.022855479656928215,LOSE_LESS_OR_FRAGILE,,,,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,HTF_TGT_BREAK
OBEXEC_B,OBEXEC_B,2160,-0.26565881262113494,NONE,,,,OBEXEC_B,M14_REFERENCE_LEVEL,OBEXEC_B
OBEXEC_C,OBEXEC_C,1896,-0.20573875879572312,NONE,,,,OBEXEC_C,M14_REFERENCE_LEVEL,OBEXEC_C
OBEXEC_D,OBEXEC_D,955,-0.18525611422496036,LOSE_LESS_OR_FRAGILE,,,,OBEXEC_D,M14_REFERENCE_LEVEL,OBEXEC_D
OBR_A_limit,OBR_A_limit,2486,-0.06732270034263796,NONE,,,,OBR_A_limit,M14_REFERENCE_LEVEL,OBR_A_limit
S10::598adad042be,S10,13256,-0.18214022583580294,NONE,,,,S10::598adad042be,M10_DISPLACEMENT_CONTINUATION,S10
S10::7df75fdb8ecb,S10,13834,-0.19540252563132476,NONE,,,,S10::7df75fdb8ecb,M10_DISPLACEMENT_CONTINUATION,S10
S11::576394ea476f,S11,5092,-0.05809888414133959,LOSE_LESS_OR_FRAGILE,,,,S11::576394ea476f,M11_STRUCTURE_BREAK_REVERSAL,S11
S12::061854e10b15,S12,14904,-0.24240894300199123,NONE,,,,S12::061854e10b15,M12_RANGE_ROTATION,S12
S12::884efeda36f3,S12,15005,-0.23235864181773025,NONE,,,,S12::884efeda36f3,M12_RANGE_ROTATION,S12
S13::7d288aa44d52,S13,15985,-0.15124934773689036,LOSE_LESS_OR_FRAGILE,,,,S13::7d288aa44d52,M13_IMBALANCE_FVG,S13
S14::25e44853ad0f,S14,1239,-0.15238831279984705,PROFITABLE_RESCUE,dist_prev_sess_high_atr=0.0,0.4925924139527721,-0.18809848932362921,S14::25e44853ad0f,M08_EXTENSION_MEAN_REVERSION,S14
S14::dc07a2d5d013,S14,1334,-0.07335208704947947,PROFITABLE_RESCUE,atr_over_atrma=1.0,0.2902631017665356,-0.09654922828176113,S14::dc07a2d5d013,M08_EXTENSION_MEAN_REVERSION,S14
S15::ac373f9fe529,S15,15354,-0.16152008753853492,NONE,,,,S15::ac373f9fe529,M07_TREND_CONTINUATION,S15
S16::393fe65826e6,S16,775,0.0036035871818489063,NONE,,,,S16::393fe65826e6,M14_REFERENCE_LEVEL,S16
S17::3cf289079abb,S17,314,-0.02144687811779879,PROFITABLE_RESCUE,vol_rel_20=4.0,0.3384686430896529,-0.2237874447667642,S17::3cf289079abb,M14_REFERENCE_LEVEL,S17
S18::18995ee3f508,S18,3868,-0.2196943442096486,LOSE_LESS_OR_FRAGILE,,,,S18::18995ee3f508,M06_SESSION_TIME,S18
S18::3933c532ec9c,S18,3868,-0.27062340875942975,LOSE_LESS_OR_FRAGILE,,,,S18::3933c532ec9c,M06_SESSION_TIME,S18
S19::762b6018f2c5,S19,130,-0.2669320577565558,LOSE_LESS_OR_FRAGILE,,,,S19::762b6018f2c5,M15_GAP,S19
S1::11c4710e404e,S1,7574,-0.1687544865282243,PROFITABLE_RESCUE,halfhour_bucket_utc=45.0,0.19044563471302065,-0.17104542538280573,S1::11c4710e404e,M01_LIQUIDITY_SWEEP,S1
S1::4b7c6d5c6035,S1,8132,-0.2084882388941829,NONE,,,,S1::4b7c6d5c6035,M01_LIQUIDITY_SWEEP,S1
S20::3a706309724e,S20,1513,-0.062153001502173844,NONE,,,,S20::3a706309724e,M21_META_ROUTER,S20
S21::6ddb75c3f9b1,S21,13540,-0.3144243577251478,PROFITABLE_RESCUE,rloc_20=0.0,0.3943699398576296,-0.315998290288248,S21::6ddb75c3f9b1,M01_LIQUIDITY_SWEEP,S21
S21::b61f7b31fafc,S21,11874,-0.2797389306514087,PROFITABLE_RESCUE,rloc_50=4.0,0.10236372406723987,-0.28158202545710914,S21::b61f7b31fafc,M01_LIQUIDITY_SWEEP,S21
S22::e730d6bce802,S22,4526,-0.07835108961063955,NONE,,,,S22::e730d6bce802,M14_REFERENCE_LEVEL,S22
S23::866611e1c7db,S23,6667,-0.17687497367340774,PROFITABLE_RESCUE,hour_utc=12.0,0.3589571168564324,-0.18100548102180886,S23::866611e1c7db,M04_VOLATILITY_COMPRESSION_EXPANSION,S23
S24::a20c02d14359,S24,3870,-0.11455623302072095,NONE,,,,S24::a20c02d14359,M06_SESSION_TIME,S24
S25::017b79ce0b9e,S25,6095,-0.14850806707979777,NONE,,,,S25::017b79ce0b9e,M04_VOLATILITY_COMPRESSION_EXPANSION,S25
S26::f196a9ae20d6,S26,16964,-0.1791938310904777,NONE,,,,S26::f196a9ae20d6,M16_AUCTION_VALUE,S26
S27::8492323d86e4,S27,25010,-0.1757948604079745,NONE,,,,S27::8492323d86e4,M16_AUCTION_VALUE,S27
