setup_id,feature,std_win_loss_diff,corr_R,abseff
BASE_SETUP_01,g009,-0.0523,-0.0401,0.052279671963124795
BASE_SETUP_01,g034,-0.0384,-0.0298,0.03842408528077472
BASE_SETUP_01,g041,-0.0301,-0.0244,0.030092566410117545
BASE_SETUP_01,g054,0.0116,0.0058,0.011624895229245626
BASE_SETUP_01,g020,-0.034,-0.0258,0.0339611798636448
BASE_SETUP_01,g030,-0.0233,-0.0173,0.02333752100156225
BASE_SETUP_01,g002,-0.0232,-0.0315,0.023159987067021885
BASE_SETUP_01,g003,-0.0297,-0.023,0.029650225833277512
BASE_SETUP_01,g050,-0.0161,-0.0065,0.01611238945730667
BASE_SETUP_01,g027,0.0473,0.0865,0.04733474093805102
BASE_SETUP_01,g018,-0.0473,-0.0865,0.047334740938050485
BASE_SETUP_01,g006,0.0458,0.0836,0.04583167936960289
BASE_SETUP_01,g040,-0.0458,-0.0836,0.04583167936960224
BASE_SETUP_01,g010,-0.0435,-0.0875,0.04349146608333447
BASE_SETUP_01,g008,-0.0473,-0.0865,0.047334740938050485
BASE_SETUP_01,g052,-0.0458,-0.0836,0.04583167936960224
BASE_SETUP_01,g028,-0.0205,-0.05,0.02045098923446959
BASE_SETUP_01,g032,-0.0079,0.0096,0.007909435897352594
BASE_SETUP_01,g042,-0.0162,0.0243,0.01616715758857214
BASE_SETUP_01,g013,0.0219,-0.0038,0.02194473940315202
BASE_SETUP_01,g046,-0.0313,-0.0064,0.03133947420942316
BASE_SETUP_01,g047,0.0072,0.0072,0.007161153990632007
BASE_SETUP_01,g011,-0.0221,-0.0079,0.022118107190995558
BASE_SETUP_01,g014,-0.026,0.0058,0.02600030574155878
BASE_SETUP_01,g025,-0.0339,0.0169,0.03386019947358968
BASE_SETUP_01,g012,-0.03,0.0173,0.03000491003207226
BASE_SETUP_01,g053,-0.0293,0.0144,0.029317497279808383
BASE_SETUP_01,g049,-0.01,-0.0183,0.010025267045194523
BASE_SETUP_01,g035,-0.0441,-0.0008,0.04406976253837234
BASE_SETUP_01,g044,0.0329,-0.0018,0.032884416383850874
BASE_SETUP_01,g033,0.0303,0.003,0.03034201828289688
BASE_SETUP_01,g016,-0.037,-0.0435,0.03704014735854577
BASE_SETUP_01,g045,0.0195,0.0476,0.0195025129992464
BASE_SETUP_01,g024,-0.0337,-0.0299,0.03373744184301985
BASE_SETUP_01,g038,0.0145,-0.0044,0.014545783670417227
BASE_SETUP_01,g007,-0.0185,-0.0222,0.018464773427746918
BASE_SETUP_01,g021,0.0351,0.0222,0.03513924805779543
BASE_SETUP_01,g043,-0.0483,-0.041,0.04831189026108178
BASE_SETUP_01,g055,-0.0204,-0.0128,0.02035926544680831
BASE_SETUP_01,g031,-0.0477,-0.0181,0.0477037540812286
BASE_SETUP_01,g051,0.0036,-0.0009,0.003562441071999852
BASE_SETUP_01,g039,0.0049,0.0075,0.004901555112758486
BASE_SETUP_01,g026,-0.0162,0.0047,0.01618769500769998
BASE_SETUP_01,g005,0.0077,0.01,0.007722235331652522
BASE_SETUP_01,g036,-0.0467,-0.0303,0.04672221040762482
BASE_SETUP_01,g004,-0.0189,0.0274,0.01893123215710828
BASE_SETUP_01,g048,-0.0129,0.0056,0.01288953327331851
BASE_SETUP_01,g019,0.0277,-0.0197,0.027708922957269275
BASE_SETUP_01,g001,0.0282,0.0418,0.028160165647550976
BASE_SETUP_01,g015,-0.0205,-0.0424,0.020546103630475477
BASE_SETUP_01,g017,0.0566,0.0292,0.056557364979323184
BASE_SETUP_01,g023,0.071,0.047,0.0710348804555267
BASE_SETUP_01,g022,0.0183,0.0095,0.01827182541055506
BASE_SETUP_01,g029,-0.0237,-0.0202,0.023680802442132526
BASE_SETUP_01,g037,0.0723,0.0473,0.0723034010888156
BASE_SETUP_02,g009,-0.0265,0.0023,0.026506563308429824
BASE_SETUP_02,g034,-0.017,0.0059,0.016975974139510724
BASE_SETUP_02,g041,-0.0182,-0.0062,0.01822862959709393
BASE_SETUP_02,g054,-0.0133,-0.0007,0.013307121975259151
BASE_SETUP_02,g020,-0.0187,-0.0015,0.018735548813920075
BASE_SETUP_02,g030,-0.0059,0.0109,0.005908615470376607
BASE_SETUP_02,g002,-0.0158,0.0008,0.01584133728790525
BASE_SETUP_02,g003,-0.0167,-0.004,0.01665278026640896
BASE_SETUP_02,g050,-0.0131,0.0016,0.013141609995428962
BASE_SETUP_02,g027,0.007,0.0269,0.006973528959482787
BASE_SETUP_02,g018,-0.007,-0.0269,0.006973528959483688
BASE_SETUP_02,g006,0.0113,0.0309,0.011317474691004404
BASE_SETUP_02,g040,-0.0113,-0.0309,0.011317474691005688
BASE_SETUP_02,g010,-0.0044,-0.0245,0.0044420046962676115
BASE_SETUP_02,g008,-0.007,-0.0269,0.006973528959483688
BASE_SETUP_02,g052,-0.0113,-0.0309,0.011317474691005688
BASE_SETUP_02,g028,0.0066,-0.0065,0.006578187078582322
BASE_SETUP_02,g032,0.0157,0.0235,0.015671568105076826
BASE_SETUP_02,g042,0.0341,0.041,0.034063597704683736
BASE_SETUP_02,g013,0.0028,-0.012,0.002806937489917048
BASE_SETUP_02,g046,-0.0636,-0.0243,0.06363399327841784
BASE_SETUP_02,g047,0.0286,0.0102,0.028646513475154817
BASE_SETUP_02,g011,-0.053,-0.0198,0.05304488975186987
BASE_SETUP_02,g014,0.0092,0.0173,0.009156930694741928
BASE_SETUP_02,g025,0.0061,0.0295,0.0060604205925066075
BASE_SETUP_02,g012,0.0082,0.03,0.008229606772498824
BASE_SETUP_02,g053,0.0205,0.0335,0.020519751002007057
BASE_SETUP_02,g049,0.035,0.0198,0.034991773606899854
BASE_SETUP_02,g035,-0.0145,0.0075,0.014452344465111892
BASE_SETUP_02,g044,-0.0662,-0.0424,0.06615033490303915
BASE_SETUP_02,g033,0.0403,0.0118,0.04026777368788136
BASE_SETUP_02,g016,-0.0132,-0.0024,0.013156636496187419
BASE_SETUP_02,g045,-0.0324,-0.0282,0.0323550209238638
BASE_SETUP_02,g024,0.0033,0.0019,0.003312427621610392
BASE_SETUP_02,g038,-0.0527,-0.0347,0.0526789295994954
BASE_SETUP_02,g007,0.0446,0.012,0.04461171824230497
BASE_SETUP_02,g021,0.0154,0.0039,0.01540924492340561
BASE_SETUP_02,g043,-0.0113,0.0092,0.011342942522679741
BASE_SETUP_02,g055,-0.0012,0.0095,0.0011565511634544653
BASE_SETUP_02,g031,0.0203,0.0118,0.020274903907143062
BASE_SETUP_02,g051,0.0913,0.0458,0.09128320557924616
BASE_SETUP_02,g039,0.0009,0.0222,0.0008923319050176832
BASE_SETUP_02,g026,0.019,0.0155,0.019008859265828675
BASE_SETUP_02,g005,0.066,0.0383,0.06599545206982803
BASE_SETUP_02,g036,-0.0044,0.0152,0.004434013785346011
